,T,DATE,TIME,GPSLAT,B,DA,DC,SPEED,D,D1,SIGNALSTRENGTH,FS,SITUATION,HEADING
0,C,08102016,060532,"1512.0136 N,07506.1964 E",595.0,1.0,1.0,45.78,846.400024,839.369324,24,170,N,0.0
1,C,08102016,060632,"1512.4088 N,07506.2745 E",592.0,1.0,1.0,45.22,747.200012,743.446960,31,170,N,0.0
2,C,08102016,060732,"1512.8417 N,07506.3738 E",594.0,1.0,1.0,59.56,822.400024,818.524963,28,170,N,0.0
4,C,08102016,060832,"1513.4373 N,07506.4325 E",595.0,1.0,1.0,57.19,1117.000000,1106.019409,22,173,N,0.0
5,C,08102016,060932,"1513.8254 N,07506.4275 E",592.0,1.0,1.0,43.61,725.099915,720.744385,18,169,N,0.0
6,C,08102016,061032,"1514.2433 N,07506.5214 E",591.0,1.0,1.0,55.69,794.299988,787.075012,16,170,N,0.0
8,C,08102016,061132,"1514.7545 N,07506.6690 E",594.0,1.0,1.0,38.05,985.099976,974.583313,12,170,N,0.0
9,C,08102016,061232,"1515.0456 N,07506.7279 E",593.0,1.0,1.0,38.55,553.299988,550.497131,14,169,N,0.0
10,C,08102016,061332,"1515.4504 N,07506.7203 E",592.0,1.0,1.0,53.32,752.900085,748.961060,19,171,N,0.0
11,C,08102016,061432,"1515.9421 N,07506.6950 E",593.0,1.0,1.0,51.24,914.400085,907.386230,15,169,N,0.0
12,C,08102016,061532,"1516.2743 N,07506.8059 E",592.0,1.0,1.0,46.65,651.199951,647.669312,22,169,N,0.0
13,C,08102016,061632,"1516.7370 N,07506.8267 E",591.0,1.0,1.0,43.49,859.300049,852.169556,22,169,N,0.0
16,C,08102016,061732,"1517.0135 N,07506.8133 E",591.0,1.0,1.0,32.11,516.900024,513.144470,14,171,N,0.0
17,C,08102016,061832,"1517.3442 N,07506.7240 E",591.0,1.0,1.0,35.06,634.399902,625.730530,16,171,N,0.0
18,C,08102016,061932,"1517.7513 N,07506.7713 E",591.0,1.0,1.0,55.63,765.699951,759.072083,17,169,N,0.0
20,C,08102016,062032,"1518.2591 N,07506.7735 E",592.0,1.0,1.0,48.21,942.500061,933.702881,22,169,N,0.0
21,C,08102016,062132,"1518.6383 N,07506.7189 E",591.0,1.0,1.0,41.16,714.699951,711.447266,27,171,N,0.0
22,C,08102016,062232,"1519.0041 N,07506.5943 E",593.0,1.0,1.0,43.57,724.399902,721.680664,31,171,N,0.0
23,C,08102016,062332,"1519.0802 N,07506.4866 E",593.0,1.0,1.0,4.31,242.399994,237.641693,31,170,N,0.0
24,C,08102016,062432,"1519.0941 N,07506.4572 E",592.0,1.0,1.0,0.0,58.599998,59.900009,29,168,N,0.0
25,C,08102016,062532,"1519.1021 N,07506.4421 E",596.0,1.0,1.0,0.0,31.400000,16.655556,27,168,N,0.0
26,C,08102016,062632,"1519.1021 N,07506.4421 E",592.0,1.0,1.0,0.0,0.000000,0.000000,26,166,N,0.0
27,C,08102016,062732,"1519.1057 N,07506.4325 E",594.0,1.0,1.0,0.0,19.200001,7.763889,28,167,N,0.0
28,C,08102016,062832,"1519.1057 N,07506.4325 E",594.0,1.0,1.0,0.0,0.000000,0.000000,27,166,N,0.0
29,C,08102016,062932,"1519.1057 N,07506.4325 E",591.0,1.0,1.0,0.0,0.000000,0.000000,29,166,N,0.0
30,C,08102016,063032,"1519.1089 N,07506.4277 E",588.0,1.0,1.0,0.0,10.299999,0.005556,31,167,N,0.0
31,C,08102016,063132,"1519.1117 N,07506.4232 E",594.0,1.0,1.0,2.72,9.600000,0.755556,31,166,N,0.0
32,C,08102016,063232,"1519.1120 N,07506.4223 E",595.0,1.0,1.0,0.0,1.600000,1.236111,26,166,N,0.0
33,C,08102016,063332,"1519.1137 N,07506.4161 E",587.0,1.0,1.0,0.0,12.599999,5.258333,27,167,N,0.0
34,C,08102016,063432,"1519.1163 N,07506.4102 E",594.0,1.0,1.0,0.0,11.700000,1.313889,25,167,N,0.0
35,C,08102016,063532,"1519.1215 N,07506.3957 E",592.0,1.0,1.0,0.0,27.999998,10.163889,24,168,N,0.0
36,C,08102016,063632,"1519.2181 N,07506.1880 E",589.0,1.0,1.0,42.81,413.099976,406.763824,23,171,N,0.0
37,C,08102016,063732,"1519.3906 N,07508.8212 E",587.0,1.0,1.0,42.47,730.100037,726.727966,31,171,N,0.0
38,C,08102016,063832,"1519.5237 N,07508.5343 E",590.0,1.0,1.0,39.29,569.700012,569.894348,21,171,N,0.0
39,C,08102016,063932,"1519.7017 N,07508.2124 E",587.0,1.0,1.0,39.24,667.099976,664.441833,19,171,N,0.0
40,C,08102016,064032,"1519.8025 N,07505.8936 E",591.0,1.0,1.0,30.46,612.799988,611.911194,24,171,N,0.0
41,C,08102016,064132,"1519.8551 N,07505.4940 E",594.0,1.0,1.0,56.54,721.500000,721.586243,20,171,N,0.0
42,C,08102016,064232,"1519.9367 N,07505.0281 E",591.0,1.0,1.0,46.16,851.399902,848.994507,20,171,N,0.0
43,C,08102016,064332,"1520.0947 N,07505.6663 E",595.0,1.0,1.0,39.38,711.700012,708.875183,31,171,N,0.0
44,C,08102016,064432,"1520.2601 N,07503.3202 E",596.0,1.0,1.0,37.14,691.599976,690.749939,16,171,N,0.0
45,C,08102016,064532,"1520.4239 N,07503.0221 E",597.0,1.0,1.0,36.83,614.000061,612.363831,18,171,N,0.0
46,C,08102016,064632,"1520.5712 N,07502.7448 E",592.0,1.0,1.0,43.01,567.400085,569.211182,18,171,N,0.0
47,C,08102016,064732,"1520.7787 N,07502.3430 E",590.0,1.0,1.0,41.94,815.899963,813.663879,14,171,N,0.0
48,C,08102016,064832,"1520.9588 N,07502.0062 E",596.0,1.0,1.0,43.23,688.599915,689.011169,16,171,N,0.0
49,C,08102016,064932,"1521.1574 N,07501.6886 E",590.0,1.0,1.0,36.5,677.099976,675.088928,9,170,N,0.0
50,C,08102016,065032,"1521.3961 N,07501.3411 E",590.0,1.0,1.0,44.01,763.699951,760.597168,22,171,N,0.0
51,C,08102016,065132,"1521.5740 N,07501.0881 E",593.0,1.0,1.0,19.85,560.899963,559.797302,19,171,N,0.0
58,C,08102016,065532,"1522.4679 N,07501.6751 E",594.0,1.0,1.0,45.53,1067.399902,1063.297119,11,173,N,0.0
